187,88
224,88
265,107
286,143
363,222
393,88
418,192
476,15
574,89
630,89
712,89
836,89
755,140
573,215
573,231
531,248
501,163
936,183
852,201
776,215
713,227
618,267
642,406
566,373
793,361
790,428
790,564
713,466
709,545
656,471
656,539
592,549
565,578
613,602
496,512
496,552
490,586
476,598
540,452
467,450
439,580
642,639
606,634
606,657
562,635
530,634
545,651
508,655
480,655
447,632
401,632
333,650
301,650
380,665
479,670
571,671
655,659
675,641
589,696
598,738
598,785
578,836
531,843
463,843
414,822
403,767
399,734
442,702
513,703
437,708
526,731
455,768
510,782
428,802
76,345
76,412
94,234
189,276
188,431
190,579
272,531
248,394
336,465
343,321
411,392
413,320
278,268
307,244
261,224
40,598
50,676
111,811
98,884
153,942
243,926
235,807
253,846
256,863
267,893
245,930
303,969
447,973
520,924
552,940
556,977
619,897
621,892
647,831
647,750
676,732
739,867
739,961
795,975
799,892
912,914
912,943
986,865
986,765
813,744
783,745
781,770
740,772
682,781
699,789
749,790
761,815
826,831
907,754
936,634
968,600
937,800
941,853
962,923
954,952
938,889
949,818
868,856
869,923
884,987
820,838
756,815
714,799
693,853
686,900
958,577
913,583
869,648
912,762
324,710
298,708
263,709
225,709
250,727
286,718
341,739
267,740
214,750
176,713
153,665
136,604
127,554
155,569
173,621
196,673
172,774
171,813
205,777
205,833
319,764
343,776
267,791
924,361
924,407
866,409
871,460
